ShapeName,Slug,Synonyms,Category,Description,CityOrRegionMostAssociated,EarliestAttestedMention,SourceLink,PrimaryGeometry,KeyDiscriminators,Type,IsHollow,IsRidged,IsTwisted,IsCurved,SizeClass,IsStuffed,ThumbnailImage,PhotoImage,SearchAliases
Bucatini,bucatini,perciatelli,Strand,,,,,strand,,strand,yes,no,no,no,medium,no,,,perciateli; perciatelli
Scialatelli,scialatelli,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,,,scialateli
Tagliatelle,tagliatelle,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,,,tagliatele
Mafalde,mafalde,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,,,
Spaghetti,spaghetti,spaghettini (thin); spaghettoni (thick); vermicelli (intermediate),Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,spagheti; vermiceli; spaghetini; spaghetoni; vermicelli; spaghettini; spaghettoni
Sagne Torte,sagne-torte,,Sheet,,,,,sheet,,sheet,no,no,no,yes,medium,no,,,torte sagne
Linguine,linguine,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,,,
Pici,pici,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,
Canule,canule,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,
Busiate,busiate,busiata trapanese; busiati,Short,,,,,short,,short,yes,no,yes,no,medium,no,,,busiati; busiata trapanese
Bavette,bavette,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,,,bavete
Fettuccine,fettuccine,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,,,fetucine
Fettuccelli,fettuccelli,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,,,fetuceli
Lasagne,lasagne,lasagna (sing. in some usage),Sheet,,,,,sheet,,sheet,no,no,no,no,medium,no,,,lasagna
Lasagnette,lasagnette,,Sheet,,,,,sheet,,sheet,no,no,no,no,medium,no,,,lasagnete
Lasagne Ricce,lasagne-ricce,,Sheet,,,,,sheet,,sheet,no,yes,no,no,medium,no,,,lasagne rice; ricce lasagne
