state,slug,url,relative_output_path
uncooked,bucatini,https://commons.wikimedia.org/wiki/Special:FilePath/Bucatini.jpg,uncooked/bucatini.jpg
cooked,bucatini,https://commons.wikimedia.org/wiki/Special:FilePath/Bucatini_all'amatriciana.jpg,cooked/bucatini.jpg
uncooked,scialatelli,https://commons.wikimedia.org/wiki/Special:FilePath/Scialatielli.jpg,uncooked/scialatelli.jpg
cooked,scialatelli,"https://commons.wikimedia.org/wiki/Special:FilePath/Scialatielli_ai_frutti_di_mare,_Capri.jpg",cooked/scialatelli.jpg
uncooked,tagliatelle,https://commons.wikimedia.org/wiki/Special:FilePath/Tagliatelle_uncooked.jpg,uncooked/tagliatelle.jpg
cooked,tagliatelle,https://commons.wikimedia.org/wiki/Special:FilePath/Tagliatelle_al_ragu_bolognese.jpg,cooked/tagliatelle.jpg
uncooked,mafalde,https://commons.wikimedia.org/wiki/Special:FilePath/Mafaldine.jpg,uncooked/mafalde.jpg
cooked,mafalde,https://commons.wikimedia.org/wiki/Special:FilePath/Mafaldine_al_ragu.jpg,cooked/mafalde.jpg
uncooked,spaghetti,https://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti_raw.jpg,uncooked/spaghetti.jpg
cooked,spaghetti,https://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti_carbonara.jpg,cooked/spaghetti.jpg
uncooked,sagne-torte,https://commons.wikimedia.org/wiki/Special:FilePath/Maltagliati.jpg,uncooked/sagne-torte.jpg
cooked,sagne-torte,https://commons.wikimedia.org/wiki/Special:FilePath/Bucatini_allamatriciana.jpg,cooked/sagne-torte.jpg
uncooked,linguine,https://commons.wikimedia.org/wiki/Special:FilePath/Linguine.jpg,uncooked/linguine.jpg
cooked,linguine,https://commons.wikimedia.org/wiki/Special:FilePath/Linguine_vongole.jpg,cooked/linguine.jpg
uncooked,pici,https://commons.wikimedia.org/wiki/Special:FilePath/Pici_raw.jpg,uncooked/pici.jpg
cooked,pici,https://commons.wikimedia.org/wiki/Special:FilePath/Pici_all_aglione.jpg,cooked/pici.jpg
uncooked,canule,https://commons.wikimedia.org/wiki/Special:FilePath/Conchiglioni_bulk.jpg,uncooked/canule.jpg
cooked,canule,https://commons.wikimedia.org/wiki/Special:FilePath/Rigatoni_Alla_Gricia.jpg,cooked/canule.jpg
uncooked,busiate,https://commons.wikimedia.org/wiki/Special:FilePath/Busiate_pasta.jpg,uncooked/busiate.jpg
cooked,busiate,https://commons.wikimedia.org/wiki/Special:FilePath/Busiati_con_pesto_trapanese.jpg,cooked/busiate.jpg
uncooked,bavette,https://commons.wikimedia.org/wiki/Special:FilePath/Bavette_side.png,uncooked/bavette.png
cooked,bavette,https://commons.wikimedia.org/wiki/Special:FilePath/Bavette_al_pomodoro.jpg,cooked/bavette.jpg
uncooked,fettuccine,https://commons.wikimedia.org/wiki/Special:FilePath/Fettuccine_raw.jpg,uncooked/fettuccine.jpg
cooked,fettuccine,https://commons.wikimedia.org/wiki/Special:FilePath/Fettuccine_Alfredo.jpg,cooked/fettuccine.jpg
uncooked,fettuccelli,https://commons.wikimedia.org/wiki/Special:FilePath/Fettuccine.jpg,uncooked/fettuccelli.jpg
cooked,fettuccelli,https://commons.wikimedia.org/wiki/Special:FilePath/Bucatini_allamatriciana.jpg,cooked/fettuccelli.jpg
uncooked,lasagne,https://commons.wikimedia.org/wiki/Special:FilePath/Lasagne_raw.jpg,uncooked/lasagne.jpg
cooked,lasagne,https://commons.wikimedia.org/wiki/Special:FilePath/Lasagna_Bolognese.jpg,cooked/lasagne.jpg
uncooked,lasagnette,https://commons.wikimedia.org/wiki/Special:FilePath/Lasagnette_2.jpg,uncooked/lasagnette.jpg
cooked,lasagnette,https://commons.wikimedia.org/wiki/Special:FilePath/Lasagnette-with-pumpkin-and-parmesan.jpg,cooked/lasagnette.jpg
uncooked,lasagne-ricce,https://commons.wikimedia.org/wiki/Special:FilePath/Lasagnette_ricce_bulk.jpg,uncooked/lasagne-ricce.jpg
cooked,lasagne-ricce,https://commons.wikimedia.org/wiki/Special:FilePath/Bucatini_allamatriciana.jpg,cooked/lasagne-ricce.jpg
uncooked,linguettine,https://commons.wikimedia.org/wiki/Special:FilePath/Linguine2.jpg,uncooked/linguettine.jpg
cooked,linguettine,https://commons.wikimedia.org/wiki/Special:FilePath/Bucatini_allamatriciana.jpg,cooked/linguettine.jpg
uncooked,mafaldine,https://commons.wikimedia.org/wiki/Special:FilePath/Mafaldine.jpg,uncooked/mafaldine.jpg
cooked,mafaldine,https://commons.wikimedia.org/wiki/Special:FilePath/Mafaldine_al_ragu.jpg,cooked/mafaldine.jpg
